rank,last_rank,trend,name,city,rating,rating_5yr
392,670,stable,Queenston Drive,Mississauga,7.9,7.1
480,264,stable,Alvin Curling,Scarborough,7.7,7.9
392,670,stable,St Peter,Tecumseh,7.9,7.1
480,264,stable,Post's Corners,Oakville,7.7,7.9
392,791,stable,Alexander's,Burlington,7.9,6.9
480,267,stable,St Andrew,Oakville,7.7,7.9
392,950,declining,Jean Little,Guelph,7.9,6.7
480,277,stable,Sainte-Marguerite-d'Youville,Toronto,7.7,7.8
392,992,stable,Les Rapides,Sarnia,7.9,6.6
480,282,stable,Rockcliffe Park,Ottawa,7.7,7.8
392,1129,stable,Holy Name,Welland,7.9,6.5
480,282,stable,St Denis,Toronto,7.7,7.8
392,1191,stable,Innisfil Central,Lefroy,7.9,6.4
480,311,stable,Clinton Street,Toronto,7.7,7.8
392,1404,stable,Stuar t Scott,Newmarket,7.9,6.1
480,312,stable,Highgate,Markham,7.7,7.8
392,1910,declining,St James,Toronto,7.9,5.3
480,322,stable,Duke of Cambridge,Bowmanville,7.7,7.8
392,2039,stable,Claude E Gar ton Thunder,Bay,7.9,5.1
480,324,stable,Stoney Creek,London,7.7,7.7
392,n/a,n/a,Montrose,Toronto,7.9,n/a
480,324,stable,Wilkinson,Toronto,7.7,7.7
480,340,stable,Byron Somerset,London,7.7,7.7
532,614,stable,Monsignor Uyen,Chatham,7.6,7.2
480,366,stable,Barbara Reid,Stouffville,7.7,7.7
532,615,stable,Central,Guelph,7.6,7.2
480,369,stable,Madeleine-de-Roybon,Kingston,7.7,7.7
532,628,stable,St Isidore,Kanata,7.6,7.2
480,381,stable,Our Lady of the Rosar y,Concord,7.7,7.6
532,647,stable,Ellengale,Mississauga,7.6,7.1
480,420,stable,Byron Nor thview,London,7.7,7.6
532,763,stable,St John Vianney,Windsor,7.6,7.0
480,443,stable,W.O. Mitchell,Kanata,7.7,7.5
532,772,declining,St Catherine of Siena,Barrie,7.6,7.0
480,456,stable,King George,Guelph,7.7,7.5
532,774,stable,Pine Grove,Woodbridge,7.6,7.0
480,461,stable,Chris Hadfield,Whitby,7.7,7.5
532,774,declining,Sainte-Marie,Gloucester,7.6,7.0
480,461,stable,Nativity of Our Lord,Toronto,7.7,7.5
532,813,stable,St Louis,Toronto,7.6,6.9
480,478,stable,Georges-Étienne-Cartier,Toronto,7.7,7.4
532,857,declining,Father Daniel Zanon,Mississauga,7.6,6.8
480,488,stable,Parkland,Markham,7.7,7.4
532,857,stable,St. Joseph,Douro,7.6,6.8
480,488,stable,Roland Michener,Kanata,7.7,7.4
532,879,stable,Quaker Road,Welland,7.6,6.8
480,525,declining,J W Ger th,Kitchener,7.7,7.3
532,921,stable,Norway,Toronto,7.6,6.7
480,547,stable,Guardian Angels,Vaughan,7.7,7.3
532,921,stable,St Clare,Mississauga,7.6,6.7
480,591,declining,Frère André,London,7.7,7.2
532,921,stable,W R Best Memorial Shanty,Bay,7.6,6.7
480,591,declining,Gladys Speers,Oakville,7.7,7.2
532,949,stable,Woodbridge,Woodbridge,7.6,6.7
480,615,stable,Sheridan Park St.,Catharines,7.7,7.2
532,1049,stable,Dunsford,Dunsford,7.6,6.6
480,615,stable,St David,Maple,7.7,7.2
532,1054,stable,St Theresa,London,7.6,6.6
480,763,stable,Saint-Joseph,Wendover,7.7,7.0
532,1070,stable,Williamstown,Williamstown,7.6,6.5
480,804,stable,St Bernard,Whitby,7.7,6.9
532,1280,stable,W J Baird,Blenheim,7.6,6.3
480,921,stable,Winston Churchill,Kingston,7.7,6.7
532,1332,stable,Burkevale,Penetanguishene,7.6,6.2
480,933,stable,Archbishop O'Sullivan,Kingston,7.7,6.7
532,1995,stable,Bruce Peninsula Lion s,Head,7.6,5.2
480,1011,stable,St Eugene,Toronto,7.7,6.6
532,n/a,n/a,Howard,Toronto,7.6,n/a
480,1212,stable,River View Niagara,Falls,7.7,6.4
532,n/a,n/a,Marshview,Bradford,7.6,n/a
480,1280,stable,St Joseph,Bowmanville,7.7,6.3
532,n/a,n/a,St. Bernadette,Stittsville,7.6,n/a
480,1344,stable,Joyce Nor th,York,7.7,6.2
532,n/a,n/a,St. Peter,Brantford,7.6,n/a
480,1452,stable,Father C W Sullivan,Brampton,7.7,6.1
532,n/a,n/a,Victoria Square,Markham,7.6,n/a
480,n/a,n/a,Humbercrest,York,7.7,n/a
589,112,stable,Jack Miner,Whitby,7.5,8.4
480,n/a,n/a,St Jean de Brebeuf,Toronto,7.7,n/a
589,168,stable,Sts Mar tha & Mar y,Mississauga,7.5,8.2
532,79,stable,Parkview,Unionville,7.6,8.5
589,180,stable,Sir Isaac Brock,Guelph,7.5,8.1
532,139,stable,Mount Joy,Markham,7.6,8.3
589,239,stable,James W. Hill,Oakville,7.5,8.0
532,141,stable,Gandatsetiagon,Pickering,7.6,8.3
589,249,stable,John McCrae,Markham,7.5,7.9
532,144,stable,St Joseph,Markham,7.6,8.3
589,340,stable,Milliken Mills,Unionville,7.5,7.7
532,179,stable,Fred Varley,Markham,7.6,8.1
589,369,stable,St Augustines,Dundas,7.5,7.7
532,180,improving,Holy Name of Mar y,Ancaster,7.6,8.1
589,388,stable,South Per th Centennial St. Mar,ys,7.5,7.6
532,203,stable,Willowbrook,Thornhill,7.6,8.0
589,390,stable,St Alexander,Fonthill,7.5,7.6
532,259,stable,St Cecilia,Maple,7.6,7.9
589,404,stable,Édouard-Bond,Ottawa,7.5,7.6
532,275,stable,Valley View,Greenwood,7.6,7.9
589,409,stable,Milliken,Scarborough,7.5,7.6
532,295,stable,Williamsburg,Whitby,7.6,7.8
589,433,stable,Wendat Village,Stouffville,7.5,7.5
532,315,stable,Whitby Shores,Whitby,7.6,7.8
589,443,stable,New Prospect Dr,yden,7.5,7.5
532,324,stable,Rolph Road East,York,7.6,7.7
589,469,stable,Rosebank Road,Pickering,7.5,7.5
532,345,stable,St Nicholas,Waterloo,7.6,7.7
589,493,stable,Orchard Park,Burlington,7.5,7.4
532,366,stable,St Teresa,Kitchener,7.6,7.7
589,514,stable,St Julia Billiar t,Markham,7.5,7.4
532,381,stable,Connaught,Ottawa,7.6,7.6
589,519,stable,St. Benedict,Milton,7.5,7.4
532,390,stable,Charles Howitt Richmond,Hill,7.6,7.6
589,571,stable,St Emily,Nepean,7.5,7.2
532,399,stable,Pope John Paul II,Kitchener,7.6,7.6
589,615,stable,R H Cornish Por t Perr,y,7.5,7.2
532,409,stable,Jeanne Sauve St.,Catharines,7.6,7.6
589,628,stable,Sir Samuel Steele,Whitby,7.5,7.2
532,419,stable,Greensborough,Markham,7.6,7.6
589,642,stable,Milverton,Milverton,7.5,7.1
532,436,stable,Pope Francis,Kleinburg,7.6,7.5
589,670,stable,Maple Ridge,Orleans,7.5,7.1
532,443,stable,Castlemore,Brampton,7.6,7.5
589,694,stable,Mountain View,Collingwood,7.5,7.1
532,443,stable,St Sofia,Mississauga,7.6,7.5
589,706,stable,Camborne,Cobourg,7.5,7.0
532,454,stable,Oneida Central,Caledonia,7.6,7.5
589,706,stable,Mother Teresa,Russell,7.5,7.0
532,461,stable,Ledbur y Park Nor th,York,7.6,7.5
589,732,declining,St Philip,Petrolia,7.5,7.0
532,469,stable,Kettle Lakes Richmond,Hill,7.6,7.5
589,763,stable,St Emily,Woodbridge,7.5,7.0
532,495,stable,Northridge,London,7.6,7.4
589,804,declining,Listowel Eastdale,Listowel,7.5,6.9
532,512,stable,Brock,Toronto,7.6,7.4
589,824,declining,St Jude,London,7.5,6.9
532,547,stable,Prince Andrew,LaSalle,7.6,7.3
589,832,stable,James Strath,Peterborough,7.5,6.9
532,561,stable,Clara Brenton,London,7.6,7.3
589,832,stable,St Peter St.,Catharines,7.5,6.9
532,604,stable,St Mar y's,Listowel,7.6,7.2
589,890,stable,Holy Name,Essex,7.5,6.8
589,921,stable,Riverside,London,7.5,6.7
643,879,stable,St Raphael the Archangel,Maple,7.4,6.8
589,962,stable,Drayton Heights,Drayton,7.5,6.7
643,933,declining,Lakeshore,Burlington,7.4,6.7
589,994,stable,St Josephine Bakhita,Ajax,7.5,6.6
643,933,stable,St Luke,Mississauga,7.4,6.7
589,1031,stable,Mother Theresa,Cambridge,7.5,6.6
643,994,declining,Gron Morgan Thunder,Bay,7.4,6.6
589,1031,stable,Sir John A Macdonald,Belleville,7.5,6.6
643,994,declining,Seigneurie,Casselman,7.4,6.6
589,1054,stable,Lord Rober ts,Scarborough,7.5,6.6
643,1051,stable,St Agnes Nor th,York,7.4,6.6
589,1070,stable,St Leo,Toronto,7.5,6.5
643,1111,declining,St David,Dorchester,7.4,6.5
589,1091,stable,Abbey Lane,Oakville,7.5,6.5
643,1137,stable,Earl Beatty,Toronto,7.4,6.5
589,1111,stable,Jean Vanier,London,7.5,6.5
643,1229,declining,Baltimore,Baltimore,7.4,6.3
589,1180,stable,St John Bosco,Brockville,7.5,6.4
643,1251,stable,Chicopee Hills,Kitchener,7.4,6.3
589,1311,stable,Oxbow,Ilderton,7.5,6.3
643,1332,stable,Grand Bend Grand,Bend,7.4,6.2
589,1311,stable,Whaley's Corners,Brampton,7.5,6.3
643,1380,stable,Innerkip Central,Innerkip,7.4,6.2
589,1380,declining,Jean-Béliveau East Gwillimbur,y,7.5,6.2
643,1421,stable,Central,Windsor,7.4,6.1
589,1407,stable,St Thomas More,Toronto,7.5,6.1
643,1555,declining,June Avenue,Guelph,7.4,6.0
589,1439,stable,W J Langlois,Windsor,7.5,6.1
643,1572,declining,R M Moore Sault Ste.,Marie,7.4,5.9
589,1536,declining,St Bernard,Windsor,7.5,6.0
643,1809,stable,Warren Park,York,7.4,5.5
589,1557,declining,Tavistock,Tavistock,7.5,5.9
643,2262,stable,Central,Renfrew,7.4,4.6
589,2044,stable,Muskoka Falls,Bracebridge,7.5,5.1
643,n/a,n/a,Alma Public,Alma,7.4,n/a
589,n/a,n/a,Centennial '67,Spencerville,7.5,n/a
643,n/a,n/a,Janet Metcalfe,Kitchener,7.4,n/a
589,n/a,n/a,Louise-Arbour,Ottawa,7.5,n/a
643,n/a,n/a,Palmerston Avenue,Toronto,7.4,n/a
589,n/a,n/a,Micheline-Saint-Cyr,Etobicoke,7.5,n/a
643,n/a,n/a,St Michael Bright's,Grove,7.4,n/a
589,n/a,n/a,Willows Walk,Whitby,7.5,n/a
643,n/a,n/a,St. Jacinta Mar to,Brampton,7.4,n/a
643,34,stable,Rosedale,Toronto,7.4,9.0
702,191,stable,St Clement,Woodbridge,7.3,8.1
643,127,improving,C D Farquharson,Scarborough,7.4,8.3
702,274,improving,St David of Wales,Mississauga,7.3,7.9
643,133,stable,King George,York,7.4,8.3
702,315,stable,St Joseph's,Gananoque,7.3,7.8
643,137,stable,Our Lady of Mount Carmel,Carlisle,7.4,8.3
702,324,stable,St John de Brebeuf,Kingsville,7.3,7.7
643,200,stable,Unionville Meadows,Markham,7.4,8.0
702,381,stable,St Paul,London,7.3,7.6
643,230,improving,St. Anne,Burlington,7.4,8.0
702,412,stable,MacLeod,Sudbury,7.3,7.6
643,293,improving,Mother Teresa,Oakville,7.4,7.8
702,412,stable,Oscar Peterson,Stouffville,7.3,7.6
643,315,stable,St. Ignatius of Loyola,Guelph,7.4,7.8
702,427,stable,Lakeview,Grimsby,7.3,7.5
643,338,stable,St Brigid,Ayr,7.4,7.7
702,436,improving,Our Lady of Fatima,Renfrew,7.3,7.5
643,345,stable,St Ambrose,Toronto,7.4,7.7
702,443,stable,St Luke the Evangelist,Whitby,7.3,7.5
643,345,stable,St Marguerite D'Youville Richmond,Hill,7.4,7.7
702,461,stable,Lorna Jackson,Woodbridge,7.3,7.5
643,358,stable,Saint-Noël-Chabanel,Etobicoke,7.4,7.7
702,502,stable,Maple Grove,Oakville,7.3,7.4
643,366,stable,St Ann St.,Catharines,7.4,7.7
702,506,stable,Churchville,Brampton,7.3,7.4
643,369,stable,Holy Spirit,Stittsville,7.4,7.7
702,522,stable,Rousseau,Ancaster,7.3,7.4
643,381,stable,Sir Winston Churchill,Nepean,7.4,7.6
702,532,stable,Beaver Valley Thornbur,y,7.3,7.3
643,404,stable,St Rene Goupil-St Luke,Thornhill,7.4,7.6
702,532,stable,St Simon Stock,Mississauga,7.3,7.3
643,469,stable,Maplehurst,Burlington,7.4,7.5
702,547,stable,Saint-Jean,Aurora,7.3,7.3
643,495,stable,Ascension,Burlington,7.4,7.4
702,571,stable,Maple Ridge,Pickering,7.3,7.2
643,495,stable,Immaculate Hear t of Mar y Stoney,Creek,7.4,7.4
702,591,stable,Brother Andre,Ajax,7.3,7.2
643,507,stable,St Christopher,Mississauga,7.4,7.4
702,604,stable,Whole Child,Toronto,7.3,7.2
643,514,stable,William E Brown,Wainfleet,7.4,7.4
702,657,stable,Sir Isaac Brock,Brampton,7.3,7.1
643,571,stable,Park Lawn,Etobicoke,7.4,7.2
702,694,stable,Giles Campus French,Windsor,7.3,7.1
643,571,stable,St John the Baptist,Bolton,7.4,7.2
702,732,stable,St Joachim,Ancaster,7.3,7.0
643,604,stable,Randall,Markham,7.4,7.2
702,744,stable,Maryborough,Moorefield,7.3,7.0
643,639,stable,St John,Beamsville,7.4,7.1
702,813,stable,St Josephine Bakhita,Brampton,7.3,6.9
643,654,stable,Bendale,Scarborough,7.4,7.1
702,832,stable,Our Lady of Grace,Kitchener,7.3,6.9
643,670,stable,McKay Por t,Colborne,7.4,7.1
702,846,stable,St John the Apostle,Nepean,7.3,6.8
643,706,stable,Hélène-Gravel,Sudbury,7.4,7.0
702,962,stable,Avondale Nor th,York,7.3,6.7
643,706,stable,Saint-Isidore,St.-Isidore,7.4,7.0
702,962,stable,Killarney Beach,Lefroy,7.3,6.7
643,706,declining,St. Alphonsa,Brampton,7.4,7.0
702,1025,declining,Jesse Ketchum,Toronto,7.3,6.6
643,744,stable,Eldorado,Brampton,7.4,7.0
702,1031,stable,Notre Dame,London,7.3,6.6
643,756,stable,Mar y Phelan,Guelph,7.4,7.0
702,1070,stable,St Patrick,Lucan,7.3,6.5
643,774,stable,Kor tright Hills,Guelph,7.4,7.0
702,1091,stable,St. Jean-Marie Vianney,Brampton,7.3,6.5
643,791,declining,St Margaret,Toronto,7.4,6.9
702,1153,stable,St Anne,Sarnia,7.3,6.4
643,813,stable,St Thomas,Waterdown,7.4,6.9
702,1178,stable,Rober ta Bondar,Brampton,7.3,6.4
643,879,stable,Boyne,Milton,7.4,6.8
702,1251,stable,Coronation,Oshawa,7.3,6.3
643,879,stable,St Aloysius,Stratford,7.4,6.8
702,1293,declining,St Theresa,Whitby,7.3,6.3
702,1329,stable,St Theresa Shrine,Toronto,7.3,6.3
753,1229,declining,Sacred Hear t,Hamilton,7.2,6.3
702,1372,declining,Ste Marguerite Bourgeoys,Kenora,7.3,6.2
753,1229,stable,St Mar tin,London,7.2,6.3
702,1469,stable,Floradale,Elmira,7.3,6.1
753,1251,stable,Jack Miner,Kingsville,7.2,6.3
702,1469,stable,St Philomena For t,Erie,7.3,6.1
753,1278,stable,St Margaret,Cambridge,7.2,6.3
702,1532,stable,Terr y Fox,Cobourg,7.3,6.0
753,1421,stable,Caradoc Nor th,Strathroy,7.2,6.1
702,1572,stable,St Francis of Assisi,Newcastle,7.3,5.9
753,1499,declining,Our Lady of Fatima,Toronto,7.2,6.0
702,1925,declining,St Angela,Windsor,7.3,5.3
753,1536,stable,Michel-Dupuis,Ottawa,7.2,6.0
702,1951,stable,Our Lady of Lourdes,Hamilton,7.3,5.2
753,1536,stable,Welborne Avenue,Kingston,7.2,6.0
702,n/a,n/a,Jean Lumb,Toronto,7.3,n/a
753,1853,stable,Diamond Trail,Welland,7.2,5.4
702,n/a,n/a,Peel Virtual,Mississauga,7.3,n/a
753,2073,declining,J L Mitchener,Cayuga,7.2,5.0
702,n/a,n/a,Pte. Buckam Singh,Brampton,7.3,n/a
753,n/a,n/a,Christ the King,Windsor,7.2,n/a
702,n/a,n/a,Roch Carrier F.I. PS,Woodstock,7.3,n/a
753,n/a,n/a,Claremont,Claremont,7.2,n/a
702,n/a,n/a,St Patrick Catholic Por t,Colborne,7.3,n/a
753,n/a,n/a,Mer win Greer P S,Cobourg,7.2,n/a
702,n/a,n/a,St. Scholastica Town of,Milton,7.3,n/a
811,127,stable,Henderson Avenue,Thornhill,7.1,8.3
753,94,stable,St Bonaventure,Toronto,7.2,8.5
811,138,improving,Laggan,Dalkeith,7.1,8.3
753,222,stable,Le-Petit-Prince,Vaughan,7.2,8.0
811,165,stable,Hawthorn,Mississauga,7.1,8.2
753,224,stable,St Monica,Buttonville,7.2,8.0
811,226,stable,Unionville,Unionville,7.1,8.0
753,276,stable,Oodenawi,Oakville,7.2,7.9
811,231,stable,Agnes Macphail,Scarborough,7.1,8.0
753,304,stable,Wellington Heights,Fenwick,7.2,7.8
811,277,stable,Blessed Kateri,London,7.1,7.8
753,324,stable,Langton Fenelon,Falls,7.2,7.7
811,322,improving,Baythorn,Thornhill,7.1,7.8
753,324,stable,Por t Weller St.,Catharines,7.2,7.7
811,334,stable,Humber wood Downs,Etobicoke,7.1,7.7
753,338,stable,Devonshire,Ottawa,7.2,7.7
811,336,stable,Agincourt,Toronto,7.1,7.7
753,358,stable,Lackner Woods,Kitchener,7.2,7.7
811,336,improving,Arc-en-ciel,Orléans,7.1,7.7
753,369,stable,St Thomas the Apostle,Renfrew,7.2,7.7
811,345,stable,St Gregor y,Nepean,7.1,7.7
753,388,stable,Winger,Wainfleet,7.2,7.6
811,355,stable,MacLeod's Landing Richmond,Hill,7.1,7.7
753,420,improving,Chapman Mills,Ottawa,7.2,7.6
811,369,stable,Williamsburg,Kitchener,7.1,7.7
753,478,stable,Talbot Trail,Windsor,7.2,7.4
811,424,stable,Hunter's Glen,Scarborough,7.1,7.6
753,532,stable,Blessed Kateri,Kitchener,7.2,7.3
811,484,stable,Our Lady of Hope Richmond,Hill,7.1,7.4
753,547,stable,Chartland,Scarborough,7.2,7.3
811,487,stable,Mineola,Mississauga,7.1,7.4
753,561,stable,Brechin,Brechin,7.2,7.3
811,502,stable,Emily Carr,Oakville,7.1,7.4
753,589,stable,Cornell Village,Markham,7.2,7.2
811,507,stable,Ramer Wood,Markham,7.1,7.4
753,657,stable,Highbush,Pickering,7.2,7.1
811,523,stable,John William Boich,Burlington,7.1,7.4
753,670,stable,St Isaac Jogues,Pickering,7.2,7.1
811,532,stable,St Michael the Archangel,Vaughan,7.1,7.3
753,670,stable,West Rouge,Scarborough,7.2,7.1
811,561,stable,Eagle Ridge,Ajax,7.1,7.3
753,706,stable,Gordon,Welland,7.2,7.0
811,561,stable,Notre-Dame-de-la-Jeunesse,Ajax,7.1,7.3
753,706,stable,St Patrick,Nepean,7.2,7.0
811,615,stable,Francojeunesse,Ottawa,7.1,7.2
753,791,stable,Nor th Bridlewood,Scarborough,7.2,6.9
811,615,stable,St Bridget,Brooklin,7.1,7.2
753,804,stable,St Clare of Assisi Stoney,Creek,7.2,6.9
811,615,stable,St Christopher,Burlington,7.1,7.2
753,813,stable,Our Lady of the Annunciation Richmond,Hill,7.2,6.9
811,628,stable,A Lorne Cassidy,Stittsville,7.1,7.2
753,832,stable,Stella Maris,Amherstburg,7.2,6.9
811,628,stable,St Thérèse of Lisieux,Hamilton,7.1,7.2
753,846,declining,St Anthony of Padua,Milton,7.2,6.8
811,647,stable,Tecumseh Vista Academy,Tecumseh,7.1,7.1
753,857,stable,St Philip,Mississauga,7.2,6.8
811,706,stable,Linklater,Gananoque,7.1,7.0
753,890,declining,Father John Kelly,Maple,7.2,6.8
811,706,stable,Silver Pines Richmond,Hill,7.1,7.0
753,890,declining,St Stephen,Brampton,7.2,6.8
811,732,stable,St Frances Cabrini,Delhi,7.1,7.0
753,903,stable,Caledon East Caledon,East,7.2,6.8
811,732,stable,St Mark,Stouffville,7.1,7.0
753,903,stable,Guthrie,Oro-Medonte,7.2,6.8
811,802,stable,DeWitt Car ter Por t,Colborne,7.1,6.9
753,903,stable,St Vincent de Paul,Hamilton,7.2,6.8
811,804,stable,Donald Young,Emo,7.1,6.9
753,933,stable,Kemptville,Kemptville,7.2,6.7
811,845,stable,St James the Apostle Stoney,Creek,7.1,6.9
753,933,stable,St Matthew the Evangelist,Whitby,7.2,6.7
811,846,stable,Father Frederick McGinn Richmond,Hill,7.1,6.8
753,933,declining,Tecumseth South Central,Tottenham,7.2,6.7
811,846,stable,Saint-Jean-Baptiste,Mississauga,7.1,6.8
753,962,stable,Indian Creek Road,Chatham,7.2,6.7
811,846,stable,Terr y Fox,Barrie,7.1,6.8
753,962,stable,Shaw,Brampton,7.2,6.7
811,857,stable,Cornell,Scarborough,7.1,6.8
753,977,stable,Our Lady of Fatima,Grimsby,7.2,6.7
811,890,stable,St Basil,Mississauga,7.1,6.8
753,994,stable,St Francis of Assisi,Orleans,7.2,6.6
811,921,declining,Cedar Hollow,London,7.1,6.7
753,1021,declining,Cardinal Newman Niagara,Falls,7.2,6.6
811,933,stable,Waverley Drive,Guelph,7.1,6.7
753,1031,stable,Saint-Antoine,Tecumseh,7.2,6.6
811,994,stable,St Monica,Pickering,7.1,6.6
753,1054,declining,St Paschal Baylon,Toronto,7.2,6.6
811,1051,declining,Anna McCrea Sault Ste.,Marie,7.1,6.6
753,1070,stable,Corpus Christi,Ottawa,7.2,6.5
811,1070,stable,Seaforth,Seaforth,7.1,6.5
753,1097,stable,Phoebe Gilman East Gwillimbur,y,7.2,6.5
811,1137,stable,Tom Longboat,Scarborough,7.1,6.5
811,1191,stable,Holy Cross Sudbur,y,7.1,6.4
873,1499,declining,St Kevin,Welland,7.0,6.0
811,1191,declining,Parkview,Lindsay,7.1,6.4
873,1555,stable,Pauline Vanier,Brampton,7.0,6.0
811,1280,stable,Regal Road,Toronto,7.1,6.3
873,1569,stable,Sprucedale,Shakespeare,7.0,5.9
811,1369,stable,Golden,Balmertown,7.1,6.2
873,1706,declining,Elma Township,Atwood,7.0,5.7
811,1469,declining,Sandowne,Waterloo,7.1,6.1
873,1925,declining,Elgin Market,Kincardine,7.0,5.3
811,1496,stable,Stephen Central,Dashwood,7.1,6.0
873,n/a,n/a,Lakeroad,Sarnia,7.0,n/a
811,1513,declining,Minto-Clifford Central,Harriston,7.1,6.0
873,n/a,n/a,Lord Rober ts FI,London,7.0,n/a
811,1783,stable,Beachburg,Beachburg,7.1,5.5
873,n/a,n/a,Louise Arbour FI,London,7.0,n/a
811,n/a,n/a,Eva Circe-Cote FI St.,Thomas,7.1,n/a
873,n/a,n/a,McKenzie,Shuniah,7.0,n/a
811,n/a,n/a,Jonathan-Pitre,Gloucester,7.1,n/a
873,n/a,n/a,St Monica,Nepean,7.0,n/a
811,n/a,n/a,M J Hobbs Senior,Hampton,7.1,n/a
873,n/a,n/a,Viola Desmond-Maple,Maple,7.0,n/a
811,n/a,n/a,McKellar Park Central Thunder,Bay,7.1,n/a
927,172,improving,Fallingbrook,Whitby,6.9,8.1
811,n/a,n/a,Watt PS,Utterson,7.1,n/a
927,266,improving,Edward Johnson,Guelph,6.9,7.9
811,n/a,n/a,Yorkhill,Thornhill,7.1,n/a
927,314,stable,Deer Park,Toronto,6.9,7.8
811,n/a,n/a,catholique L'Envol,Trenton,7.1,n/a
927,340,stable,Mother Cabrini,Toronto,6.9,7.7
811,n/a,n/a,ÉÉC Sainte-Anne,Milton,7.1,n/a
927,412,stable,Saint-Joseph d'Orléans,Orléans,6.9,7.6
873,284,improving,Vimy Ridge,Ajax,7.0,7.8
927,431,stable,Le Prélude,Orléans,6.9,7.5
873,296,improving,St Therese of the Child Jesus,Mississauga,7.0,7.8
927,442,stable,Lamoureux,Ottawa,6.9,7.5
873,369,stable,Centennial Road,Scarborough,7.0,7.7
927,456,stable,Springbrook,Brampton,6.9,7.5
873,469,stable,D M Eagle,Tecumseh,7.0,7.5
927,478,stable,St Mark,Kitchener,6.9,7.4
873,477,stable,Southwood,Windsor,7.0,7.5
927,525,stable,St Mar y,Maidstone,6.9,7.3
873,514,stable,Brown,Toronto,7.0,7.4
927,532,stable,Wilclay,Markham,6.9,7.3
873,532,stable,Dr Emily Stowe Cour,tice,7.0,7.3
927,547,stable,St Richard,Mississauga,6.9,7.3
873,571,stable,St Patrick,Schomberg,7.0,7.2
927,571,stable,Brookville,Campbellville,6.9,7.2
873,591,stable,Notre-Place,Orleans,7.0,7.2
927,571,stable,Eastview,Oakville,6.9,7.2
873,591,stable,St Elizabeth Seton,Mississauga,7.0,7.2
927,591,stable,Ardagh Bluffs,Barrie,6.9,7.2
873,604,stable,Kanata Nord,Kanata,7.0,7.2
927,591,improving,Earl Haig,Toronto,6.9,7.2
873,642,stable,LaSalle,LaSalle,7.0,7.1
927,615,stable,St. Gregor y the Great,Oakville,6.9,7.2
873,670,stable,McMurrich,Toronto,7.0,7.1
927,657,stable,William G Davis,Scarborough,6.9,7.1
873,670,stable,Pauline,Toronto,7.0,7.1
927,693,stable,Sts Peter & Paul,Mississauga,6.9,7.1
873,670,stable,Prince of Wales,Thorold,7.0,7.1
927,694,stable,Holy Cross,Kemptville,6.9,7.1
873,670,stable,St Thomas Aquinas,Toronto,7.0,7.1
927,706,stable,St Ursula,Brampton,6.9,7.0
873,732,stable,Adam Beck,Toronto,7.0,7.0
927,744,stable,Lakeside,Ajax,6.9,7.0
873,756,stable,Carruthers Creek,Ajax,7.0,7.0
927,744,stable,St Valentine,Mississauga,6.9,7.0
873,756,stable,St Catherine of Siena,Ajax,7.0,7.0
927,756,stable,Berrigan,Nepean,6.9,7.0
873,763,stable,Lincoln Alexander,Ajax,7.0,7.0
927,756,stable,St Anne's,Cornwall,6.9,7.0
873,774,stable,Maurice-Lapointe,Kanata,7.0,7.0
927,756,stable,St Nicholas,Newmarket,6.9,7.0
873,791,stable,John Darling,Kitchener,7.0,6.9
927,763,stable,St. Nicholas,London,6.9,7.0
873,832,stable,Sainte-Madeleine,Toronto,7.0,6.9
927,774,stable,Irma Coulson,Milton,6.9,7.0
873,832,stable,St Francis Xavier Stoney,Creek,7.0,6.9
927,774,stable,St Gabriel,Brantford,6.9,7.0
873,846,stable,South March,Kanata,7.0,6.8
927,774,stable,St Theresa,Cumberland,6.9,7.0
873,903,stable,Algonquin Road/Long Lake Sudbur,y,7.0,6.8
927,832,stable,Fossil Hill,Woodbridge,6.9,6.9
873,903,stable,St Boniface Mar,yhill,7.0,6.8
927,832,stable,St Boniface,Zurich,6.9,6.9
873,957,stable,Tweed,Tweed,7.0,6.7
927,857,stable,Half Moon Bay,Nepean,6.9,6.8
873,960,stable,Reesor Park,Markham,7.0,6.7
927,857,stable,St Philip,Richmond,6.9,6.8
873,1011,stable,Alexander Muir,Newmarket,7.0,6.6
927,950,stable,Johnny Lombardi,Woodbridge,6.9,6.7
873,1054,stable,St. Luke Nor th,Bay,7.0,6.6
927,950,stable,St Monica,Toronto,6.9,6.7
873,1133,stable,Central,Burlington,7.0,6.5
927,977,stable,John XXIII,Oshawa,6.9,6.7
873,1162,declining,Trille des bois,Vanier,7.0,6.4
927,977,stable,Pringle Creek,Whitby,6.9,6.7
873,1178,stable,Carrefour Jeunesse,Rockland,7.0,6.4
927,1054,stable,Centennial Central Ar,va,6.9,6.6
873,1191,declining,Little Falls St. Mar,ys,7.0,6.4
927,1070,declining,St Bernard Thunder,Bay,6.9,6.5
873,1251,stable,Mar y Honey well,Nepean,7.0,6.3
927,1097,declining,St Mark,Beamsville,6.9,6.5
873,1296,stable,Fay wood Ar ts Nor th,York,7.0,6.3
927,1153,declining,St Edmund Campion,Toronto,6.9,6.4
873,1296,stable,Westmount,London,7.0,6.3
927,1153,stable,St Veronica,Woodbridge,6.9,6.4
873,1332,stable,St Faustina,Mississauga,7.0,6.2
927,1191,stable,Sandhills,Kitchener,6.9,6.4
873,1332,stable,St Joseph Richmond,Hill,7.0,6.2
