rank,last_rank,trend,name,city,rating,rating_5yr
67,100,stable,du Chêne,Oakville,9.4,8.4
126,42,stable,R L Beattie Sudbur,y,8.9,8.9
67,177,declining,Ashton Meadows,Markham,9.4,8.1
126,46,stable,St Joseph River,Canard,8.9,8.8
67,903,stable,Simcoe Street Niagara,Falls,9.4,6.8
126,114,stable,Westmount,Thorold,8.9,8.4
67,n/a,n/a,Dyane-Adam,Milton,9.4,n/a
126,127,declining,Millen Woods,Waterloo,8.9,8.3
74,5,improving,Silver Stream Richmond,Hill,9.3,9.6
126,140,stable,Jeanne -Lajoie Nor th,York,8.9,8.3
74,21,stable,Munns,Oakville,9.3,9.2
126,143,stable,Our Lady of Sorrows,Toronto,8.9,8.3
74,35,stable,Lambton Kingsway,Etobicoke,9.3,9.0
126,144,declining,St Rose,Windsor,8.9,8.3
74,42,stable,Bedford Park,Toronto,9.3,8.9
126,165,stable,St Vincent de Paul,Toronto,8.9,8.2
74,47,stable,Charles-Sauriol,Toronto,9.3,8.8
126,197,stable,St Paul,Guelph,8.9,8.1
74,52,stable,St Charles Garnier Richmond,Hill,9.3,8.8
126,249,stable,Sandwich West,LaSalle,8.9,7.9
74,55,declining,New Dundee New,Dundee,9.3,8.8
126,267,stable,Jacob Beam,Beamsville,8.9,7.9
74,81,stable,Horizon Jeunesse,Mississauga,9.3,8.5
126,361,declining,Gabrielle-Roy,Toronto,8.9,7.7
74,88,stable,St Pius X,Tecumseh,9.3,8.5
126,390,stable,St Francis Thunder,Bay,8.9,7.6
74,91,stable,Bay view Glen,Thornhill,9.3,8.5
126,420,stable,Caistor Central Caistor,Centre,8.9,7.6
74,200,stable,Westdale St.,Catharines,9.3,8.0
126,547,stable,Sacred Hear t,Langton,8.9,7.3
74,259,declining,St Joseph,Fergus,9.3,7.9
126,703,declining,St Anthony,Toronto,8.9,7.1
74,670,declining,Heximer Avenue Niagara,Falls,9.3,7.1
126,889,declining,St Francis de Sales,Ajax,8.9,6.8
74,n/a,n/a,Viola-Léger,Bowmanville,9.3,n/a
126,n/a,n/a,Our Lady of Fatima St.,Catharines,8.9,n/a
88,16,stable,ISNA Islamic,Mississauga,9.2,9.3
126,n/a,n/a,St Sylvester,Toronto,8.9,n/a
88,21,stable,St Edmund,Mississauga,9.2,9.2
126,n/a,n/a,St. Isabel,Kanata,8.9,n/a
149,37,stable,Jack Chambers,London,8.8,9.0
199,125,stable,Fairglen,Scarborough,8.5,8.3
149,69,stable,Sunningdale,Oakville,8.8,8.7
199,125,stable,Knoxdale,Nepean,8.5,8.3
149,191,stable,Pineland,Burlington,8.8,8.1
199,156,declining,Vista Hills,Waterloo,8.5,8.2
149,220,declining,Patricia-Picknell,Oakville,8.8,8.0
199,175,declining,St Marguerite d'Youville,Oakville,8.5,8.1
